"gene name" "logFC"	"P.Value"	"adj.P.Val"
"RPL39"	4.78711695302927	1.46983863138653e-05	0.000142862301650975
"GPR12"	3.34924701867134	1.46989716225124e-05	0.000142862301650975
"FAU"	2.19261621242544	1.47609182041116e-05	0.000142862301650975
"RESF1"	3.12988239379233	1.47819386828611e-05	0.000142862301650975
"PATL1"	2.23407648374759	1.49358169871962e-05	0.000143914694403737
"PLXNB2"	2.73300102207758	1.50046302858028e-05	0.000144143580433282
"NUP188"	2.23779815298904	1.52133769147725e-05	0.000145711355539992
"HSPA2"	-4.05431324321706	1.53815874149673e-05	0.000146882681016359
"SMAD4"	2.76628832120123	1.55227338576826e-05	0.000147415819443179
"MIR3654"	3.28096683520957	1.55654794827933e-05	0.000147415819443179
"IMPDH2"	2.22989887155829	1.55756633234744e-05	0.000147415819443179
"LBH"	2.04063262510209	1.57272692730841e-05	0.000148411605913262
"SMURF2P1-LRRC37BP1"	2.20555841531901	1.58778287256019e-05	0.000149391688509413
"KLHL14"	5.35256472990112	1.59516406610449e-05	0.000149646036582647
"PELI1"	3.0808682402625	1.61181473915989e-05	0.000150765945923173
"TRIM28"	2.28016061033379	1.62235633426704e-05	0.000151309560155109
"YLPM1"	2.196923344181	1.63095447604051e-05	0.000151669283978302
"ZSWIM6"	2.34480299690964	1.68730359772302e-05	0.000156020543503684
"PTPN21"	2.26344568497211	1.69346107486094e-05	0.000156020543503684
"ARPP21"	3.02604471727949	1.69537109086116e-05	0.000156020543503684
"NOVA2"	1.92399713037047	1.69725380241582e-05	0.000156020543503684
"SMG6"	2.17188101045177	1.71297003487023e-05	0.000157014072823779
"ZNF646"	2.19681993943015	1.72469928761565e-05	0.000157170392176334
"GPRIN3"	3.8335543844734	1.72905414696023e-05	0.000157170392176334
"TNRC18"	2.33045553690638	1.72941475605094e-05	0.000157170392176334
"COTL1"	2.76461281077133	1.74461610969939e-05	0.000157833161456796
"WDR3"	2.54467388497117	1.74657515335123e-05	0.000157833161456796
"MAP6"	2.76366672121774	1.78225779799124e-05	0.000160604019599267
"GARRE1"	2.0692378711111	1.79113046293629e-05	0.000160950178397
"CRY1"	2.59635892824397	1.81105234020158e-05	0.000162284494014141
"CCDC57"	2.19106075605757	1.82408218262842e-05	0.000162646842766219
"DBR1"	2.60601095426635	1.82699380216515e-05	0.000162646842766219
"GPR158"	-2.94717578699589	1.83342197937657e-05	0.000162646842766219
"CST3"	-2.85439070388839	1.83649229225178e-05	0.000162646842766219
"RBM33"	2.26567174426169	1.84427612052315e-05	0.000162646842766219
"VAT1"	2.52155670325903	1.84560187321468e-05	0.000162646842766219
"GID8"	2.01163712123511	1.86402580044138e-05	0.000163819190538791
"PLEKHA8"	3.33554165853257	1.87059155553921e-05	0.000163945818799176
"DCC"	3.12283382380778	1.88194313141885e-05	0.000164490056759806
"STARD4-AS1"	3.7263121755079	1.89317465948164e-05	0.000165020864732473
"RPL29"	3.11849676519925	1.92366849067315e-05	0.00016722324732781
"GCN1"	1.95169969782848	1.93442629039027e-05	0.000167414350425997
